,N,M,params,score
0,500,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.1605772182990482
1,500,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.15996315627878416
2,500,50,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 50, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.16610377648142463
3,500,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.1934295363831747
4,500,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.19097328830211852
5,500,100,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 100, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.18575376112987413
6,500,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.20049124961621123
7,500,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.19312250537304268
8,500,200,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 200, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 5000}",0.1906662572919865
9,500,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 500}",0.2054037457783236
10,500,300,"{'model': LogisticRegression(), 'svd': TruncatedSVD(n_components=300), 'svd__n_components': 300, 'vec': TfidfVectorizer(max_features=5000), 'vec__max_features': 1000}",0.19895609456555113
