N,K_train_classes,train_accuracy,val_accuracy,test_accuracy,train_f1_weighted,val_f1_weighted,test_f1_weighted,model__C,vectorizer__max_features,vectorizer__ngram_range
1000,21,0.7289936113024568,0.4960079840319362,0.41909732883021183,0.7205460480078069,0.46774681011133507,0.358385653207495,1,500,"(1, 2)"
2000,21,0.689498836478235,0.562502532517525,0.44396684065090575,0.6676043301950578,0.5194263057082843,0.38120212115558555,1,500,"(1, 2)"
3000,21,0.6998333333333333,0.5973333333333333,0.46515198035001537,0.6811270041780388,0.5556525079037292,0.41085704631661923,1,500,"(1, 2)"
4000,21,0.7223754757587034,0.6200026393404947,0.49247774025176544,0.7060702113052546,0.5868590092246134,0.4427807033594939,1,500,"(1, 1)"
5000,22,0.7462000249215084,0.6235998898659644,0.5151980350015352,0.735739438294027,0.5976213817324737,0.4688462698489105,1,1000,"(1, 1)"
6000,22,0.7509166666666666,0.6185,0.5363831747006448,0.7414833003111637,0.5961408307777837,0.49879629748449283,1,1000,"(1, 1)"
7000,22,0.7603571608212542,0.6305733723987745,0.5701565858151674,0.7507075023922258,0.6122608399116866,0.5417760744995933,1,1000,"(1, 1)"
8000,22,0.7604996544005035,0.6361212537855124,0.5839729812711084,0.7514454512739802,0.6192005008336218,0.5606441414321011,1,1000,"(1, 1)"
9000,22,0.7876111111111112,0.645,0.5990175007675775,0.7802740788270355,0.6293420939995463,0.5765127452384161,1,2000,"(1, 1)"
10000,22,0.7908501889636992,0.6539015629217391,0.604544058949954,0.7840657505468395,0.6387995268240988,0.5831124669551727,1,2000,"(1, 1)"
