N,K_train_classes,train_accuracy,val_accuracy,test_accuracy,train_f1_weighted,val_f1_weighted,test_f1_weighted,model__C,vectorizer__max_features,vectorizer__ngram_range
1000,21,0.7654948801875339,0.5299910689132247,0.45716917408658275,0.7512037355225879,0.499525217493981,0.39975229761733017,1,500,"(1, 2)"
2000,21,0.72324734107065,0.6130065597831714,0.48326680994780474,0.7026754761394397,0.576358748103046,0.42318232583938853,1,500,"(1, 2)"
3000,21,0.7485,0.6293333333333333,0.5032238256063862,0.7276542866425557,0.5912808705490687,0.44831830409911166,1,1000,"(1, 2)"
4000,21,0.791500790458207,0.6627565811992727,0.5280933374270801,0.7760161303113481,0.6296275668652943,0.4765996361304095,1,2000,"(1, 2)"
5000,22,0.7959000759104105,0.6754029746271634,0.5388394227817009,0.783945607810864,0.6541395288947626,0.4901803393289744,1,1000,"(1, 1)"
6000,22,0.8163333333333332,0.6661666666666667,0.5713847098556954,0.8063528245300509,0.6448447318015108,0.5261060480145585,1,2000,"(1, 1)"
7000,22,0.8173570236379847,0.6765723540136044,0.5984034387473135,0.807367831557916,0.655955380480629,0.5624704042764571,1,2000,"(1, 1)"
8000,22,0.8308745416761026,0.6862456146470063,0.6195885784464231,0.8218801737633504,0.6643121853493208,0.5906843762150299,1,5000,"(1, 2)"
9000,22,0.832388888888889,0.6923333333333334,0.6401596561252687,0.8239498125145409,0.673488712625299,0.6183951591788814,1,5000,"(1, 2)"
10000,22,0.8220998716040796,0.7053010040056197,0.6481424623887012,0.8133581479978874,0.688962330518324,0.6277362182660087,1,2000,"(1, 1)"
