N,num_train_classes,num_test_classes,mean_num_samples_per_class,median_num_samples_per_class,train_accuracy,std_train_accuracy,val_accuracy,std_val_accuracy,test_accuracy,train_f1_weighted,std_train_f1_weighted,val_f1_weighted,std_val_f1_weighted,test_f1_weighted,train_f1_macro,std_train_f1_macro,val_f1_macro,std_val_f1_macro,test_f1_macro,model__C,vectorizer__max_features,vectorizer__ngram_range,min_samples_per_class,representation_score,representation_score_threshold
1000,22,22,45.45454545454545,28.5,0.6170038104071088,0.011177767067754446,0.4889740039440638,0.02143923569311637,0.4854160270187289,0.5756087670183198,0.011281442871564684,0.43263430698077726,0.025723321609516115,0.4148214045178743,0.3839440594362775,0.019734498177402488,0.24603518423226456,0.031181594562801358,0.3097998303930287,1,500,"(1, 2)",0,0.98,10
2000,22,22,90.9090909090909,55.5,0.6700027705577069,0.015853915211718656,0.5650080365222795,0.017157538565983923,0.5339269266195886,0.645042462744697,0.018734013412200518,0.5286576265725628,0.017959438252689253,0.488194612802317,0.5415066394499709,0.03179871627423364,0.40522391435330696,0.01940307757503411,0.3643897935146574,1,500,"(1, 2)",0,1.0,10
3000,22,22,136.36363636363637,74.0,0.7328333333333333,0.005948856099191612,0.6356666666666667,0.010530379332620885,0.5799815781393921,0.714625998018419,0.006345199574811104,0.6080850659963551,0.010871203726231593,0.5482466630046255,0.6345815643623499,0.005013389931468312,0.5113322737645077,0.0031352111724067934,0.49332746448372605,1,1000,"(1, 2)",0,1.0,10
4000,22,22,181.8181818181818,110.5,0.7321255229442908,0.004482407610801871,0.6487498936203316,0.008886715913873343,0.5904206324838809,0.7152413911470178,0.0035494049385596145,0.6253756589138549,0.008749137498629095,0.5626003493856192,0.6435374039223701,0.014240608362732865,0.5367987500523538,0.021889725560055688,0.5069984959946542,1,500,"(1, 1)",0,1.0,10
5000,22,22,227.27272727272728,146.0,0.7459007448435306,0.0058613921083753824,0.6592006928746303,0.009150401411746915,0.6103776481424624,0.7338667592832061,0.0065155128055308315,0.6403454234153022,0.00961128609050465,0.5868568627688707,0.6872995485997547,0.0055485111193710425,0.5732344682360447,0.015624396375897416,0.5469321251263982,1,1000,"(1, 2)",0,1.0,10
6000,22,22,272.72727272727275,161.0,0.7489166666666667,0.006056447436868841,0.6758333333333333,0.009877021593352712,0.6100706171323304,0.7337760898837008,0.0068035960467148085,0.6549526973288554,0.00920021955550516,0.5853894308917096,0.684364579973877,0.014287527112560112,0.5834332241998762,0.012822249279422326,0.5437986728893524,1,1000,"(1, 2)",0,1.0,10
7000,22,22,318.1818181818182,194.0,0.7986427428351286,0.004857327659894712,0.7018573347422749,0.0014157836694946762,0.6423088731961928,0.7871109289733056,0.0054214178637891205,0.6824643850381212,0.0031364367829982524,0.6203557877736349,0.731955713597058,0.012053369952446174,0.6050238597371563,0.011580019807797033,0.5850165131148194,1,2000,"(1, 1)",0,1.0,10
8000,22,22,363.6363636363636,229.5,0.808562416478364,0.003572062180284057,0.7101243346082114,0.006673476388271782,0.6515198035001535,0.7983347949953304,0.0032338643007032136,0.6901800159398374,0.007947744574641388,0.6316830734090508,0.7440611633484879,0.0027103269572755096,0.6178788764305927,0.009998431390568928,0.5982943212944432,1,5000,"(1, 2)",0,1.0,10
9000,22,22,409.09090909090907,249.5,0.8165555555555555,0.0006712803318663739,0.7255555555555556,0.004871180048174012,0.6564322996622659,0.8083573679327459,0.0010555023575439222,0.710235099016021,0.004259857153434963,0.634310166484279,0.7651914247376147,0.0006341056837312246,0.647883066567206,0.010296471316884836,0.600851142378891,1,5000,"(1, 2)",0,1.0,10
10000,22,22,454.54545454545456,269.0,0.8200001191059559,0.003387680889730954,0.7340009645835609,0.009248993268024568,0.6641080749155664,0.8111918717665084,0.0034830725508293906,0.718055325665066,0.009897377534371334,0.6430600285138394,0.7666605483803379,0.005827727246658198,0.6551583692334488,0.01765027555376111,0.6101205745581966,1,5000,"(1, 2)",0,1.0,10
