N,num_train_classes,num_test_classes,mean_num_samples_per_class,median_num_samples_per_class,train_accuracy,val_accuracy,test_accuracy,train_f1_weighted,val_f1_weighted,test_f1_weighted,train_f1_macro,val_f1_macro,test_f1_macro,model__C,vectorizer__max_features,vectorizer__ngram_range,min_samples_per_class
1000,21,21,47.61904761904762,43.0,0.7289936113024568,0.4960079840319362,0.4557595993322204,0.7205460480078069,0.46774681011133507,0.4055972094570992,0.5725208923060748,0.3713458302529356,0.3530122813745464,1,500,"(1, 2)",0
2000,21,21,95.23809523809524,63.0,0.689498836478235,0.562502532517525,0.48280467445742903,0.6676043301950578,0.5194263057082843,0.4297159152053915,0.5347559491814164,0.3853637260038422,0.37012260325121327,1,500,"(1, 2)",0
3000,21,21,142.85714285714286,96.0,0.7056666666666667,0.595,0.5141903171953256,0.6876100673369409,0.5530607434018058,0.47244660746397565,0.5816032305883736,0.42411813661404474,0.42396699037981317,1,500,"(1, 1)",0
4000,21,21,190.47619047619048,114.0,0.7223754757587034,0.6200026393404947,0.535559265442404,0.7060702113052546,0.5868590092246134,0.4989836584753509,0.5992495649144507,0.4713200065263539,0.44589004577462626,1,500,"(1, 1)",0
5000,22,22,227.27272727272728,136.5,0.7186000543665644,0.6201991294418187,0.5075222597482346,0.7055606899556143,0.5952832662510149,0.46085556822816054,0.5920970640376938,0.4921197459141344,0.438623622331059,1,500,"(1, 1)",0
6000,22,22,272.72727272727275,168.0,0.7120000000000001,0.614,0.526251151366288,0.700489656530593,0.5931886215459651,0.4893956482876862,0.6171921421802191,0.5043613793317151,0.47466759174082607,1,500,"(1, 1)",0
7000,22,22,318.1818181818182,205.5,0.7603571608212542,0.6305733723987745,0.5701565858151674,0.7507075023922258,0.6122608399116866,0.5417760744995933,0.6950949720897928,0.5514561620439192,0.5149901450290573,1,1000,"(1, 1)",0
8000,22,22,363.6363636363636,241.0,0.7604996544005035,0.6361212537855124,0.5839729812711084,0.7514454512739802,0.6192005008336218,0.5606441414321011,0.7106594277363758,0.5821668529715206,0.5355793027230608,1,1000,"(1, 1)",0
9000,22,22,409.09090909090907,283.0,0.7583333333333333,0.6401111111111111,0.5888854774332207,0.7508314737450549,0.6258286823239995,0.5684060005886652,0.7218455450444295,0.5986299162946227,0.5449942052122382,1,1000,"(1, 1)",0
10000,22,22,454.54545454545456,305.5,0.7616501938179417,0.644500832806736,0.5953331286459932,0.754705900844241,0.6300963867236204,0.5756336003420006,0.7267161168698401,0.5970891315930541,0.5538980772280819,1,1000,"(1, 1)",0
